Concurso,Data_Sorteio,Bola1,Bola2,Bola3,Bola4,Bola5,Bola6,Bola7,Bola8,Bola9,Bola10,Bola11,Bola12,Bola13,Bola14,Bola15,Ganhadores_15_Numeros,Ganhadores_14_Numeros,Ganhadores_13_Numeros,Ganhadores_12_Numeros,Ganhadores_11_Numeros,Valor_Rateio_15_Numeros,Valor_Rateio_14_Numeros
17,1/19/2004,1,2,3,5,6,7,9,13,14,16,17,18,19,20,21,1,320,14425,232740,1083387,"R$ 1.427.169,94","R$ 1.911,39"
18,1/26/2004,2,6,7,8,10,11,14,15,17,18,19,20,22,23,24,3,309,12373,174339,1079894,"R$ 487.887,61","R$ 2.030,05"
19,2/2/2004,2,5,6,7,8,10,11,13,14,15,16,17,20,23,24,10,818,23594,326913,1333412,"R$ 82.040,05","R$ 428,20"
20,2/9/2004,3,4,6,7,8,9,10,14,16,17,18,19,20,23,24,9,931,19580,266087,1462294,"R$ 122.882,04","R$ 507,17"
21,2/16/2004,1,2,4,5,8,11,14,16,18,19,20,22,23,24,25,3,316,13077,203475,1211951,"R$ 530.990,23","R$ 2.160,45"
22,2/25/2004,1,2,3,4,5,6,7,9,10,12,13,14,15,22,25,1,484,55372,152738,868693,"R$ 1.081.149,89","R$ 957,34"
23,3/1/2004,1,3,4,5,6,8,10,11,12,14,16,17,18,19,20,1,541,16248,215670,1187602,"R$ 1.178.452,05","R$ 933,55"
24,3/8/2004,1,2,3,5,7,10,11,14,17,19,20,21,23,24,25,2,585,22453,258724,1286374,"R$ 662.295,89","R$ 970,40"
25,3/15/2004,1,2,3,4,5,6,7,9,13,14,16,20,22,23,24,0,417,16108,213231,1288117,"R$ 0,00","R$ 1.437,73"
26,3/22/2004,5,7,8,9,10,11,13,14,16,17,19,20,21,22,23,3,602,22397,317722,1659205,"R$ 970.676,17","R$ 1.077,21"
27,3/29/2004,3,6,8,10,11,12,13,14,15,18,20,21,22,24,25,2,466,15650,216827,1192912,"R$ 811.005,39","R$ 1.491,73"
28,4/5/2004,1,3,7,9,10,11,12,13,14,16,17,18,19,20,21,2,556,22300,307113,1363336,"R$ 536.916,65","R$ 827,73"
29,4/12/2004,1,4,5,6,8,9,13,14,16,17,19,20,21,22,24,5,456,14375,181147,1203109,"R$ 317.538,81","R$ 1.492,19"
30,4/19/2004,1,2,3,4,6,7,8,11,14,17,19,20,21,22,23,2,345,13480,184916,1136035,"R$ 813.271,34","R$ 2.020,55"
31,4/26/2004,1,2,3,4,9,13,14,15,17,19,20,21,22,24,25,3,250,13005,189635,1161305,"R$ 503.451,70","R$ 2.589,18"
32,5/3/2004,1,2,4,6,7,9,10,11,14,15,16,17,20,22,23,2,384,14060,199525,1175480,"R$ 706.634,89","R$ 1.577,31"
33,5/10/2004,1,2,5,7,8,10,11,12,14,16,19,20,21,23,24,9,1358,35450,328729,1417927,"R$ 109.171,84","R$ 308,91"
34,5/17/2004,1,2,4,7,8,9,10,11,15,16,18,19,20,21,23,0,407,16589,216210,1359006,"R$ 0,00","R$ 1.381,20"
35,5/24/2004,1,4,5,6,11,12,13,14,16,17,19,21,22,23,25,1,291,12750,191524,1338198,"R$ 3.155.820,04","R$ 2.715,98"
36,5/31/2004,1,4,5,7,8,10,11,14,17,19,20,21,22,23,24,6,1573,40526,453277,1414816,"R$ 92.828,37","R$ 151,18"
37,6/7/2004,1,3,4,5,8,9,10,11,13,15,20,21,22,23,24,1,283,11976,182815,1220504,"R$ 1.371.528,32","R$ 2.077,02"
38,6/14/2004,1,2,3,6,7,8,9,10,13,14,15,16,22,24,25,0,298,12361,181763,1122407,"R$ 0,00","R$ 2.240,91"
39,6/21/2004,2,7,8,9,11,13,14,15,17,18,19,21,22,23,24,3,915,31607,352332,1626512,"R$ 888.003,60","R$ 516,00"
40,6/28/2004,1,2,5,7,8,10,12,13,14,16,17,20,21,22,24,9,650,20792,266561,1331593,"R$ 129.462,67","R$ 765,33"
41,7/5/2004,2,3,4,9,12,13,15,16,17,18,19,20,21,23,25,5,431,16555,218669,1304019,"R$ 285.091,61","R$ 1.417,43"
42,7/12/2004,1,3,4,5,6,8,11,12,14,15,17,21,22,24,25,1,351,14288,205537,1065540,"R$ 1.731.431,15","R$ 2.114,08"
43,7/19/2004,1,3,6,7,8,9,10,14,17,18,19,20,22,23,24,2,448,31225,257520,1394077,"R$ 550.553,79","R$ 1.053,36"
44,7/26/2004,3,4,5,6,10,11,12,13,14,18,19,21,23,24,25,0,334,12675,172526,1140441,"R$ 0,00","R$ 2.056,93"
45,8/2/2004,1,2,3,5,7,9,14,16,17,18,19,21,23,24,25,4,602,23232,353114,1591989,"R$ 731.525,88","R$ 941,91"
46,8/9/2004,1,2,4,5,6,8,10,11,14,18,19,21,23,24,25,4,825,24898,340899,1460500,"R$ 308.549,13","R$ 638,71"
47,8/16/2004,1,2,3,4,5,6,8,10,11,13,15,18,20,22,25,16,933,25668,259783,1267303,"R$ 94.685,43","R$ 693,26"
48,8/23/2004,2,5,6,7,11,13,15,16,17,18,19,20,21,22,23,2,331,13606,193466,1299636,"R$ 777.343,31","R$ 2.012,97"
49,8/30/2004,2,4,5,6,8,11,13,15,16,19,20,21,22,23,24,0,673,22438,282506,1269761,"R$ 0,00","R$ 806,00"
50,9/6/2004,1,2,3,6,7,9,10,11,12,13,19,20,21,23,25,1,659,21583,298054,1545777,"R$ 2.776.089,01","R$ 982,27"
51,9/13/2004,1,3,5,6,7,8,11,13,14,16,17,20,21,22,23,2,765,22722,302341,1520867,"R$ 545.229,30","R$ 608,58"
52,9/20/2004,1,2,4,8,9,11,12,13,15,16,21,22,23,24,25,3,420,24265,205595,1156747,"R$ 532.065,25","R$ 1.628,77"
53,9/27/2004,1,2,3,6,7,9,11,12,14,17,18,19,20,23,24,4,564,19767,262234,1425498,"R$ 269.887,95","R$ 820,33"
54,10/4/2004,2,4,5,6,7,8,9,12,14,16,18,20,21,22,24,27,2269,40058,272073,1157000,"R$ 46.149,84","R$ 234,47"
55,10/11/2004,2,3,4,5,6,7,8,9,12,13,15,16,18,19,25,6,682,24083,253488,1334310,"R$ 213.174,74","R$ 803,76"
56,10/18/2004,1,2,5,9,12,13,14,15,16,17,19,20,22,23,24,0,401,17323,225472,1396834,"R$ 0,00","R$ 1.427,28"
57,10/25/2004,1,2,3,4,6,7,8,11,12,17,19,20,21,22,25,1,571,33796,229355,1390034,"R$ 3.278.857,27","R$ 1.458,64"
58,11/1/2004,3,4,5,6,11,12,13,14,15,16,17,18,19,20,22,6,559,17361,165098,1095964,"R$ 294.482,82","R$ 1.354,64"
59,11/8/2004,1,3,5,6,7,8,10,11,13,14,15,19,20,23,25,2,662,27187,351810,1707263,"R$ 439.884,44","R$ 567,39"
60,11/16/2004,1,2,3,4,5,8,11,16,17,18,19,22,23,24,25,3,362,30873,165747,1022631,"R$ 485.556,53","R$ 1.724,55"
61,11/22/2004,1,4,5,9,11,12,13,14,15,16,19,20,22,23,25,2,300,14553,253317,1311870,"R$ 698.017,29","R$ 1.994,34"
62,11/29/2004,1,3,7,8,9,11,13,14,15,16,17,18,20,24,25,5,432,19513,234116,1336449,"R$ 282.087,66","R$ 1.399,25"
63,12/6/2004,4,8,9,10,11,12,13,16,17,19,20,21,22,24,25,2,379,15221,209528,1301392,"R$ 870.856,42","R$ 1.969,52"
64,12/13/2004,1,2,3,6,7,8,9,10,13,14,17,18,20,23,25,4,525,20308,280806,1586899,"R$ 323.455,35","R$ 1.056,18"
65,12/20/2004,1,2,4,7,10,15,16,17,18,19,20,21,22,23,25,0,300,13067,218281,1147456,"R$ 0,00","R$ 2.735,19"
66,12/27/2004,1,2,4,8,10,11,14,15,16,17,20,21,22,23,24,8,834,25470,309390,1631513,"R$ 434.105,49","R$ 800,73"
67,1/3/2005,5,7,8,9,10,11,12,13,15,16,20,21,22,23,24,4,294,12324,205063,1212285,"R$ 394.429,73","R$ 2.299,88"
68,1/10/2005,1,2,3,5,6,7,8,9,10,12,16,17,22,23,25,2,368,14579,211030,1291340,"R$ 853.689,74","R$ 1.988,41"
69,1/17/2005,1,4,7,8,9,10,11,15,17,18,19,20,21,23,24,4,619,34720,283047,1543014,"R$ 296.233,16","R$ 820,40"
70,1/24/2005,1,2,3,5,6,9,10,12,14,15,16,19,20,24,25,6,611,19413,230116,1265554,"R$ 264.323,93","R$ 1.112,42"
71,1/31/2005,1,3,5,6,8,9,11,13,14,15,16,18,21,22,23,4,744,21490,276234,1289869,"R$ 349.187,58","R$ 804,58"
72,2/9/2005,1,2,5,7,8,11,12,13,15,16,17,18,23,24,25,2,485,16561,198957,1178585,"R$ 571.665,39","R$ 1.010,31"
73,2/14/2005,1,2,5,7,10,11,13,14,15,16,17,18,19,21,25,3,401,16615,240646,1388168,"R$ 404.461,66","R$ 1.296,82"
74,2/21/2005,1,2,3,4,5,6,8,11,13,15,16,18,22,23,25,7,861,36320,325482,1342101,"R$ 165.704,35","R$ 575,18"
75,2/28/2005,1,3,4,5,6,7,8,10,11,13,15,16,17,20,25,2,564,22764,330303,1538522,"R$ 531.264,65","R$ 807,39"
76,3/7/2005,1,3,5,8,9,10,12,13,15,16,17,19,21,23,25,13,2705,63452,463129,1672037,"R$ 49.566,81","R$ 101,71"
77,3/14/2005,2,3,4,6,8,9,11,14,17,18,20,21,22,24,25,4,742,21609,228257,1213259,"R$ 434.837,87","R$ 1.004,63"
78,3/21/2005,1,2,3,5,6,7,8,12,13,15,16,17,18,20,23,1,643,23291,317982,1617133,"R$ 1.007.644,94","R$ 669,06"
79,3/28/2005,1,2,3,5,9,12,14,15,17,18,20,22,23,24,25,1,443,17526,230930,1249856,"R$ 1.429.789,18","R$ 1.383,22"
80,4/4/2005,1,2,3,4,5,7,9,10,14,15,17,18,20,22,25,1,502,19706,292151,1294632,"R$ 1.387.219,92","R$ 1.184,31"
81,4/11/2005,1,2,3,4,5,6,7,10,11,13,15,16,17,19,21,6,866,29787,387171,1619963,"R$ 160.734,67","R$ 475,46"
82,4/18/2005,1,4,5,6,8,9,12,13,15,17,18,19,20,22,23,4,636,20746,250768,1418972,"R$ 378.128,77","R$ 1.019,22"
83,4/25/2005,1,2,3,5,6,8,10,11,12,13,14,20,23,24,25,3,505,19766,290953,1615749,"R$ 370.701,93","R$ 943,79"
84,5/2/2005,1,2,4,6,8,12,15,16,17,19,20,22,23,24,25,2,525,21813,263703,1419482,"R$ 729.194,11","R$ 1.190,52"
85,5/9/2005,1,2,5,7,8,9,11,13,14,15,16,18,21,22,23,13,988,41716,303054,1673514,"R$ 86.488,60","R$ 485,87"
86,5/16/2005,2,4,5,6,8,9,12,13,14,17,18,19,23,24,25,14,1437,33924,344925,1583126,"R$ 81.060,95","R$ 337,18"
87,5/23/2005,1,2,3,5,8,9,10,11,13,15,18,20,22,24,25,14,1308,46044,353024,1711252,"R$ 62.917,54","R$ 287,52"
88,5/30/2005,1,2,4,5,8,9,10,11,12,14,17,18,19,24,25,5,853,30153,318718,1383793,"R$ 257.018,77","R$ 643,22"
89,6/6/2005,1,6,11,12,13,15,16,17,19,20,21,22,23,24,25,2,528,59274,230638,1266634,"R$ 858.145,42","R$ 1.393,10"
90,6/13/2005,1,2,3,8,10,11,12,15,17,20,21,22,23,24,25,4,525,17979,236987,1539050,"R$ 400.382,66","R$ 1.307,37"
91,6/20/2005,1,4,9,10,11,12,13,14,15,16,17,20,22,23,25,2,428,23937,203510,1341264,"R$ 880.833,62","R$ 1.764,02"
92,6/27/2005,1,2,4,6,8,12,13,14,15,17,18,19,21,22,24,5,714,22604,257642,1433995,"R$ 290.246,68","R$ 871,09"
93,7/4/2005,2,4,5,6,7,9,10,13,17,18,19,20,21,23,24,6,480,18433,230658,1352474,"R$ 271.483,43","R$ 1.454,37"
94,7/11/2005,2,4,8,9,11,12,13,15,16,17,18,21,22,23,24,2,573,29882,267884,1577059,"R$ 694.861,30","R$ 1.039,43"
95,7/18/2005,1,2,3,4,5,10,11,12,14,15,17,18,19,20,22,2,401,20787,231813,1294859,"R$ 883.199,51","R$ 1.887,85"
96,7/25/2005,3,4,6,9,10,12,14,16,17,18,19,21,22,23,24,1,454,16790,220370,1209732,"R$ 1.793.190,45","R$ 1.692,75"
97,8/2/2005,3,4,6,10,12,13,14,15,17,19,20,22,23,24,25,4,539,19062,237912,1490877,"R$ 379.485,48","R$ 1.206,95"
98,8/8/2005,1,2,5,6,8,10,11,15,17,18,20,22,23,24,25,5,1089,31800,376336,1625070,"R$ 238.130,55","R$ 466,80"
99,8/15/2005,1,2,3,4,7,10,11,13,14,16,17,20,21,24,25,4,695,19351,227907,1278734,"R$ 424.895,89","R$ 1.048,05"
100,8/22/2005,1,3,4,8,9,10,11,12,13,14,16,17,22,23,25,6,547,39008,241845,1371980,"R$ 251.438,56","R$ 1.182,00"
101,8/29/2005,1,3,6,7,9,10,13,14,16,17,19,20,21,23,24,9,917,26691,287551,1473207,"R$ 144.911,71","R$ 607,23"
102,9/5/2005,1,2,3,4,7,9,10,11,12,18,19,21,22,23,25,5,622,20635,267607,1361023,"R$ 323.383,57","R$ 1.114,09"
103,9/12/2005,1,2,3,4,5,7,8,10,11,16,17,18,22,23,25,5,467,26477,269789,1577960,"R$ 276.012,69","R$ 1.266,50"
104,9/19/2005,5,6,7,10,11,13,14,15,16,18,19,21,22,24,25,2,354,13835,196494,1186254,"R$ 982.532,88","R$ 2.379,02"
105,9/26/2005,4,6,7,8,9,10,11,12,13,15,17,19,21,22,25,2,425,15988,225268,1278152,"R$ 855.532,63","R$ 1.725,44"
106,10/3/2005,1,2,3,4,5,6,10,12,13,14,15,17,22,23,25,3,471,22766,286573,1570457,"R$ 442.710,00","R$ 1.208,49"
107,10/10/2005,1,3,4,6,7,8,9,11,12,15,17,18,21,24,25,1,494,16680,215950,1314644,"R$ 1.801.807,58","R$ 1.563,17"
108,10/17/2005,1,2,4,7,8,9,11,12,14,15,16,18,22,23,25,8,1094,26164,281728,1425759,"R$ 159.562,30","R$ 498,16"
109,10/24/2005,1,3,5,7,9,11,12,13,16,18,20,21,23,24,25,14,2257,44187,335886,1552174,"R$ 76.346,11","R$ 202,19"
110,10/31/2005,1,3,4,5,6,12,13,14,17,19,20,21,22,23,25,2,442,23523,280697,1423182,"R$ 706.957,82","R$ 1.370,96"
111,11/7/2005,1,5,6,10,11,12,13,15,17,18,19,21,22,24,25,1,415,17785,266234,1440550,"R$ 1.503.858,33","R$ 1.553,04"
112,11/14/2005,1,2,3,4,6,10,11,14,15,17,18,19,20,21,23,1,341,13885,218980,1274318,"R$ 1.749.331,36","R$ 2.198,57"
113,11/21/2005,1,2,4,5,6,8,11,12,13,14,19,20,21,24,25,3,437,16637,236170,1390432,"R$ 514.867,34","R$ 1.514,81"
114,11/28/2005,1,2,3,6,7,8,9,10,11,14,20,21,22,24,25,0,320,11371,182608,1159190,"R$ 0,00","R$ 2.542,69"
115,12/5/2005,1,4,5,6,7,9,11,12,13,16,17,18,20,21,25,1,674,22580,326888,1754217,"R$ 4.081.776,78","R$ 1.388,24"
116,12/12/2005,1,2,9,10,11,12,13,14,16,18,19,20,21,23,25,2,484,20047,292261,1619598,"R$ 848.830,45","R$ 1.503,24"
117,12/19/2005,5,6,7,9,10,11,12,13,14,15,17,18,20,23,25,3,498,18606,280170,1592727,"R$ 569.686,18","R$ 1.470,79"
118,12/27/2005,2,4,5,6,8,12,13,14,15,18,19,21,22,23,24,4,660,35222,301415,1520411,"R$ 357.319,00","R$ 928,10"
119,1/2/2006,1,4,6,8,9,10,11,15,17,18,20,21,22,23,24,1,370,20989,223234,1259823,"R$ 1.663.143,71","R$ 1.926,43"
120,1/9/2006,1,3,5,7,8,11,12,13,15,16,18,19,20,21,24,2,758,25198,303361,1549722,"R$ 746.715,01","R$ 844,38"
121,1/16/2006,1,2,4,5,7,9,10,11,12,16,17,18,23,24,25,3,830,27637,298499,1491043,"R$ 492.515,31","R$ 760,04"
122,1/23/2006,1,2,4,5,8,9,10,13,15,17,18,20,22,23,25,8,1291,32778,368045,1643408,"R$ 136.137,23","R$ 360,18"
123,1/30/2006,4,5,6,7,11,12,13,17,18,19,20,21,22,23,24,4,670,18123,225258,1346974,"R$ 422.565,92","R$ 1.081,20"
124,2/6/2006,2,3,4,6,7,9,14,15,16,18,19,20,21,24,25,2,396,15090,194421,1186925,"R$ 1.036.561,02","R$ 2.243,64"
125,2/13/2006,2,3,4,6,7,9,10,11,12,15,16,21,22,24,25,2,395,13621,188288,1269512,"R$ 1.047.965,76","R$ 2.274,07"
126,2/20/2006,1,2,3,4,6,7,8,13,14,16,18,21,22,24,25,0,493,18073,245449,1428758,"R$ 0,00","R$ 1.516,70"
127,3/1/2006,1,2,3,4,5,7,10,11,12,13,18,19,22,23,25,5,633,26537,226287,1209770,"R$ 519.339,50","R$ 574,65"
128,3/6/2006,2,3,4,6,11,13,14,15,16,17,19,20,21,23,25,2,422,18165,257399,1512543,"R$ 830.452,68","R$ 1.686,77"
129,3/13/2006,2,5,6,7,9,11,13,15,18,19,20,21,22,23,25,3,907,38023,333579,1684780,"R$ 448.986,01","R$ 634,05"
130,3/20/2006,2,3,4,5,6,9,10,12,13,15,17,19,23,24,25,3,952,29720,362203,1689512,"R$ 417.614,17","R$ 561,87"
131,3/27/2006,2,4,5,6,7,8,11,12,13,15,19,20,22,23,25,1,660,23967,320580,1600418,"R$ 1.341.544,37","R$ 871,13"
132,4/3/2006,1,3,4,5,7,9,10,11,14,15,16,17,22,23,25,10,792,26452,340872,1584197,"R$ 135.976,17","R$ 733,01"
133,4/10/2006,1,3,4,5,8,9,11,13,15,18,19,20,21,22,23,5,895,32294,385069,1862691,"R$ 217.132,17","R$ 517,90"
134,4/17/2006,1,3,5,7,8,10,11,12,13,14,16,17,19,22,25,4,1345,32243,321650,1628816,"R$ 325.378,91","R$ 413,15"
135,4/24/2006,1,2,5,7,8,10,13,14,15,18,19,20,21,22,25,7,775,20815,253415,1441124,"R$ 234.154,46","R$ 906,41"
136,5/2/2006,1,2,3,5,6,9,12,13,14,15,17,21,22,23,24,2,329,14555,238514,1255488,"R$ 671.843,75","R$ 1.750,35"
137,5/8/2006,2,6,8,9,10,11,12,13,16,17,18,19,20,21,25,2,313,12648,221694,1259615,"R$ 937.816,37","R$ 2.568,19"
138,5/15/2006,2,3,4,5,7,8,11,13,15,16,17,21,22,24,25,3,464,18695,250239,1503282,"R$ 476.718,72","R$ 1.320,96"
139,5/22/2006,1,2,7,9,12,14,15,16,17,18,19,21,22,23,24,1,443,18564,247145,1370404,"R$ 1.596.786,85","R$ 1.544,78"
140,5/29/2006,1,2,3,6,9,10,12,13,15,18,19,20,22,24,25,7,787,22971,268181,1413296,"R$ 210.217,72","R$ 801,34"
141,6/5/2006,1,3,7,8,9,10,12,13,16,17,18,19,20,24,25,2,471,17588,247734,1532701,"R$ 793.662,96","R$ 1.444,34"
142,6/12/2006,1,2,4,5,6,7,9,15,16,17,18,19,22,23,24,1,373,15636,246926,1364705,"R$ 1.692.224,96","R$ 1.944,35"
143,6/19/2006,1,2,8,9,11,13,15,16,17,19,21,22,23,24,25,5,677,29324,326923,1643883,"R$ 201.113,36","R$ 634,16"
144,6/26/2006,1,2,4,7,9,11,12,14,17,19,20,21,22,24,25,36,3305,39042,295178,1379832,"R$ 35.936,80","R$ 167,14"
145,7/3/2006,1,2,3,9,10,11,13,14,15,17,18,20,22,24,25,3,815,30436,317461,1442001,"R$ 395.268,82","R$ 621,20"
146,7/10/2006,1,2,5,8,10,11,12,13,14,16,17,22,23,24,25,6,557,21375,302776,1519562,"R$ 219.758,40","R$ 1.014,53"
147,7/17/2006,1,2,4,5,6,10,11,12,13,16,19,21,22,23,25,3,624,25125,278315,1546507,"R$ 472.583,65","R$ 973,73"
148,7/24/2006,1,2,4,5,8,9,12,13,16,17,20,21,22,24,25,17,1024,23278,276551,1552055,"R$ 84.381,14","R$ 598,09"
149,8/1/2006,2,5,7,9,10,13,15,16,17,18,19,20,23,24,25,5,616,22974,303309,1711630,"R$ 235.870,42","R$ 820,52"
150,8/7/2006,1,3,5,6,7,8,9,11,14,19,21,22,23,24,25,1,333,15291,253716,1446824,"R$ 1.641.679,38","R$ 2.112,84"
151,8/14/2006,3,4,5,7,9,10,11,12,13,14,16,18,20,23,24,5,626,23014,277803,1417099,"R$ 333.476,48","R$ 1.141,52"
152,8/21/2006,3,4,5,6,7,8,13,15,17,19,20,22,23,24,25,3,749,23507,300483,1517767,"R$ 435.453,14","R$ 744,65"
153,8/28/2006,1,2,4,5,8,11,12,13,17,18,20,21,23,24,25,8,958,30251,365810,1713398,"R$ 130.468,18","R$ 465,16"
154,9/4/2006,1,2,3,5,6,9,10,11,13,14,15,16,18,23,24,1,604,27326,262834,1558936,"R$ 1.415.829,77","R$ 1.004,61"
155,9/11/2006,2,4,5,8,10,11,14,15,16,18,19,20,21,22,24,0,559,22378,250331,1242889,"R$ 0,00","R$ 1.352,92"
156,9/18/2006,1,3,4,8,9,10,11,12,13,14,15,19,20,22,23,7,606,23142,344899,1779082,"R$ 544.973,94","R$ 1.449,91"
157,9/25/2006,1,2,4,6,7,9,10,12,14,16,18,19,21,24,25,9,1164,27968,294624,1457786,"R$ 184.264,18","R$ 608,27"
158,10/2/2006,2,7,8,9,10,11,12,15,16,17,18,19,20,22,23,2,379,14044,227436,1333606,"R$ 903.537,47","R$ 2.043,43"
159,10/9/2006,1,2,3,4,5,6,8,10,11,14,15,17,20,24,25,2,699,23036,296027,1584286,"R$ 703.307,50","R$ 862,43"
160,10/16/2006,1,3,4,9,10,11,12,14,15,16,17,19,20,21,24,3,343,15261,208539,1221736,"R$ 597.551,18","R$ 2.239,89"
161,10/19/2006,1,5,8,11,13,15,16,17,18,20,21,22,23,24,25,0,611,15775,239227,918806,"R$ 0,00","R$ 331,96"
162,10/23/2006,1,2,3,4,5,6,8,11,12,13,16,18,20,23,24,5,473,17329,259119,1359430,"R$ 326.388,90","R$ 1.048,22"
163,10/26/2006,1,2,3,5,6,7,9,13,14,15,20,21,23,24,25,3,301,14090,182825,1000015,"R$ 264.578,33","R$ 1.130,14"
164,10/30/2006,1,2,3,5,6,8,10,11,14,15,18,21,22,23,24,1,350,14833,215986,1200787,"R$ 1.166.134,45","R$ 1.427,92"
165,11/3/2006,1,2,4,6,8,9,12,13,14,15,17,18,19,22,25,2,474,15818,152856,784846,"R$ 370.695,33","R$ 667,80"
166,11/6/2006,2,3,4,8,9,10,13,14,15,18,19,20,21,22,23,39,1363,18402,206939,965304,"R$ 30.597,68","R$ 373,80"
167,11/9/2006,1,2,3,6,8,9,10,13,14,16,18,19,22,23,24,3,531,16831,202659,1017291,"R$ 302.468,28","R$ 729,59"
168,11/13/2006,1,2,3,4,7,10,12,15,16,17,19,20,22,23,24,1,386,15449,205259,1185853,"R$ 1.467.158,17","R$ 1.628,97"
169,11/16/2006,1,4,5,6,7,8,9,10,11,12,15,16,20,21,24,0,239,8661,119123,733474,"R$ 0,00","R$ 1.973,03"
170,11/21/2006,1,3,4,5,6,7,8,10,13,16,18,20,22,23,25,1,614,25288,329486,1467483,"R$ 2.382.496,82","R$ 894,98"
171,11/23/2006,1,3,4,10,11,12,13,15,16,17,21,22,23,24,25,4,268,9173,148445,853294,"R$ 214.073,05","R$ 1.369,34"
172,11/27/2006,1,2,4,6,7,9,10,11,12,13,18,20,21,22,25,1,491,15871,198340,1108489,"R$ 1.294.736,87","R$ 1.130,12"
173,11/30/2006,2,3,4,5,7,8,11,15,19,20,21,22,23,24,25,0,245,10219,148861,869873,"R$ 0,00","R$ 1.729,59"
174,12/4/2006,1,2,4,7,9,10,11,12,13,15,17,20,23,24,25,11,1312,35908,358227,1677488,"R$ 164.220,21","R$ 266,09"
175,12/7/2006,2,3,5,6,7,11,12,13,14,15,16,18,19,21,24,2,267,11214,149794,846444,"R$ 640.155,35","R$ 2.055,07"
176,12/11/2006,2,4,10,11,12,13,15,16,17,18,21,22,23,24,25,1,807,33717,236870,1292800,"R$ 1.219.699,48","R$ 645,28"
177,12/14/2006,2,6,7,8,10,11,13,15,16,17,19,20,21,23,24,2,513,17607,189127,1003314,"R$ 561.611,08","R$ 938,37"
178,12/18/2006,2,3,4,6,8,9,10,14,16,19,20,21,23,24,25,1,283,13048,190022,1115303,"R$ 1.521.659,37","R$ 2.304,38"
179,12/21/2006,2,3,4,5,7,9,13,14,15,17,19,22,23,24,25,6,1085,31036,321695,1307885,"R$ 82.980,10","R$ 195,92"
180,12/26/2006,1,2,3,4,5,6,7,8,10,11,15,17,20,24,25,13,7687,18027,183658,1062910,"R$ 68.697,01","R$ 49,61"
181,12/28/2006,1,4,5,6,7,8,14,15,16,17,19,20,21,22,23,2,360,9926,121305,708743,"R$ 648.701,32","R$ 1.544,53"
182,1/2/2007,2,3,4,7,8,9,11,13,14,17,19,21,22,23,25,7,928,23347,253900,1053677,"R$ 83.505,82","R$ 268,93"
183,1/4/2007,2,4,6,7,8,11,13,14,16,19,20,21,23,24,25,4,424,13906,182663,839141,"R$ 218.236,04","R$ 882,35"
